CitationCount,CitingInstitutions_GiniSim_perc0,CitingInstitutions_GiniSim_perc25,CitingInstitutions_GiniSim_perc50,CitingInstitutions_GiniSim_perc75,CitingInstitutions_GiniSim_perc100,CitingCountries_GiniSim_perc0,CitingCountries_GiniSim_perc25,CitingCountries_GiniSim_perc50,CitingCountries_GiniSim_perc75,CitingCountries_GiniSim_perc100,CitingSubregions_GiniSim_perc0,CitingSubregions_GiniSim_perc25,CitingSubregions_GiniSim_perc50,CitingSubregions_GiniSim_perc75,CitingSubregions_GiniSim_perc100,CitingRegions_GiniSim_perc0,CitingRegions_GiniSim_perc25,CitingRegions_GiniSim_perc50,CitingRegions_GiniSim_perc75,CitingRegions_GiniSim_perc100,CitingInstitutions_Shannon_perc0,CitingInstitutions_Shannon_perc25,CitingInstitutions_Shannon_perc50,CitingInstitutions_Shannon_perc75,CitingInstitutions_Shannon_perc100,CitingCountries_Shannon_perc0,CitingCountries_Shannon_perc25,CitingCountries_Shannon_perc50,CitingCountries_Shannon_perc75,CitingCountries_Shannon_perc100,CitingSubregions_Shannon_perc0,CitingSubregions_Shannon_perc25,CitingSubregions_Shannon_perc50,CitingSubregions_Shannon_perc75,CitingSubregions_Shannon_perc100,CitingRegions_Shannon_perc0,CitingRegions_Shannon_perc25,CitingRegions_Shannon_perc50,CitingRegions_Shannon_perc75,CitingRegions_Shannon_perc100
2,0.0,0.0,0.5,0.66666666666666674,0.99866488651535379,0.0,0.0,0.0,0.5,0.98550724637681164,0.0,0.0,0.0,0.5,0.9296875,0.0,0.0,0.0,0.5,0.79999999999999993,0.0,0.0,0.69314718055994529,1.0986122886681096,6.6187389835173311,0.0,0.0,0.0,0.69314718055994529,4.2341065045972579,0.0,0.0,0.0,0.69314718055994529,2.6859453246697877,0.0,0.0,0.0,0.69314718055994529,1.6094379124341005
3,0.0,0.5,0.66666666666666674,0.77777777777777779,0.99684698887437506,0.0,0.0,0.5,0.66666666666666674,0.98362307886117406,0.0,0.0,0.44444444444444442,0.625,0.9244444444444444,0.0,0.0,0.375,0.5,0.79999999999999993,0.0,0.69314718055994529,1.0986122886681096,1.5607104090414063,5.8271674394512125,0.0,0.0,0.69314718055994529,1.0986122886681096,4.1211300539928084,0.0,0.0,0.63651416829481278,1.0397207708399179,2.6156305770275505,0.0,0.0,0.56233514461880829,0.69314718055994529,1.6094379124341005
4,0.0,0.625,0.75,0.83333333333333326,0.99865966832947539,0.0,0.375,0.56,0.72,0.98615384615384616,0.0,0.31999999999999984,0.5,0.66666666666666674,0.929845422116528,0.0,0.0,0.44444444444444442,0.5,0.79999999999999993,0.0,1.0397207708399179,1.3862943611198906,1.7917594692280547,6.6180380212645584,0.0,0.56233514461880829,0.95027053923323468,1.3296613488547582,4.3196555230642035,0.0,0.50040242353818787,0.69314718055994529,1.0986122886681096,2.6800072369022319,0.0,0.0,0.63651416829481278,0.69314718055994529,1.6094379124341005
5,0.0,0.66666666666666674,0.79999999999999993,0.85714285714285721,0.9986631862603691,0.0,0.44444444444444442,0.625,0.75,0.981789802289282,0.0,0.375,0.56,0.6875,0.91836734693877553,0.0,0.27777777777777768,0.44444444444444442,0.61111111111111116,0.79999999999999993,0.0,1.0986122886681096,1.6094379124341005,1.945910149055313,6.6221288837550718,0.0,0.63651416829481278,1.0397207708399179,1.3862943611198906,4.0516161394463106,0.0,0.56233514461880829,0.95027053923323468,1.277034259466139,2.540036303820981,0.0,0.45056120886630463,0.63651416829481278,1.0042424730540764,1.6094379124341005
6,0.0,0.7407407407407407,0.83333333333333326,0.87889273356401387,0.99866333428477938,0.0,0.5,0.66666666666666674,0.77551020408163263,0.98255280073461893,0.0,0.44444444444444442,0.61224489795918369,0.72,0.91358024691358031,0.0,0.31999999999999984,0.48,0.61111111111111116,0.79999999999999993,0.0,1.3862943611198906,1.7917594692280547,2.1639556568820564,6.6215389637351869,0.0,0.69314718055994529,1.2130075659799042,1.5607104090414063,4.0977088997803008,0.0,0.63651416829481278,1.0397207708399179,1.3321790402101223,2.5532370029937139,0.0,0.50040242353818787,0.6829081047004717,1.0114042647073518,1.6094379124341005
7,0.0,0.77777777777777779,0.85714285714285721,0.89750692520775621,0.998654565316404,0.0,0.53125,0.69387755102040816,0.78125,0.9834104938271605,0.0,0.44897959183673464,0.625,0.72222222222222221,0.92184075967859758,0.0,0.31999999999999984,0.5,0.61224489795918369,0.79999999999999993,0.0,1.5607104090414063,1.945910149055313,2.3025850929940455,6.6176842384962491,0.0,0.90753529410500933,1.3208883431493219,1.6094379124341005,4.1803956772716155,0.0,0.69314718055994529,1.073542846408523,1.3862943611198906,2.5885731626821187,0.0,0.50040242353818787,0.73562193975879464,1.0114042647073518,1.6094379124341005
8,0.0,0.8,0.875,0.90879999999999994,0.9986580554193446,0.0,0.5625,0.72,0.8,0.98418209876543206,0.0,0.49382716049382713,0.653061224489796,0.7407407407407407,0.91966759002770082,0.0,0.37037037037037035,0.5,0.61728395061728392,0.79999999999999993,0.0,1.7478680974667573,2.094729047527649,2.4254797084327193,6.6183754513678013,0.0,1.0027182645175161,1.3862943611198906,1.7328679513998633,4.1803956772716155,0.0,0.796311640173813,1.1682824501765625,1.4750763110546947,2.5796246736085755,0.0,0.56233514461880829,0.84868555772641718,1.0397207708399179,1.6094379124341005
9,0.0,0.82539682539682535,0.88330096021947879,0.91666666666666663,0.99865666397999464,0.0,0.6,0.73469387755102045,0.81481481481481488,0.98187499999999994,0.0,0.5123966942148761,0.66666666666666674,0.75,0.9140625,0.0,0.375,0.53125,0.625,0.79999999999999993,0.0,1.8392967479776605,2.2102535776209735,2.540036303820981,6.6195730002403019,0.0,1.0549201679861442,1.4750763110546947,1.7917594692280547,4.1263439178837835,0.0,0.89813700318786793,1.2424533248940002,1.5124511784664483,2.5126585295298014,0.0,0.59826958858525725,0.8979457248567797,1.0549201679861442,1.6094379124341005
10,0.0,0.84297520661157033,0.89273356401384085,0.9244444444444444,0.998641548122517,0.0,0.61224489795918369,0.74556213017751483,0.82,0.98037928335143054,0.0,0.53125,0.67999999999999994,0.76,0.91745799853907961,0.0,0.39669421487603307,0.54,0.62721893491124259,0.79999999999999993,0.0,1.9652370493802307,2.3383717048035724,2.6390573296152584,6.6174460554250851,0.0,1.1490596969706202,1.5396544474400977,1.8462202193216335,4.0379659693080514,0.0,0.94044798865532642,1.277034259466139,1.5498260458782016,2.5641850592122819,0.0,0.63651416829481278,0.90025605126853692,1.0670895187820832,1.6094379124341005
11,0.0,0.85714285714285721,0.90277777777777779,0.9296875,0.99865485796577913,0.0,0.62721893491124259,0.7578125,0.828125,0.9839800640797437,0.0,0.55621301775147924,0.6875,0.76530612244897966,0.91779396462018736,0.0,0.40625,0.54545454545454541,0.628099173553719,0.79999999999999993,0.0,2.0692024658203625,2.4260151319598084,2.7144523517424965,6.6193723814717,0.0,1.2130075659799042,1.5832584594204766,1.9061547465398496,4.3428941612741845,0.0,0.97431475286934943,1.310783678099714,1.5832584594204766,2.5277682572998135,0.0,0.639031859650177,0.91842778499309774,1.0789922078775833,1.6094379124341005
