,region_cited,year,is_oa,count_doi,region_citing,region_citing_count
0,Africa,2010,True,9272,Africa,71362
1,Africa,2010,True,9272,Asia,76128
2,Africa,2010,True,9272,Americas,136858
3,Africa,2010,True,9272,Europe,115716
4,Africa,2010,True,9272,Oceania,20909
5,Africa,2013,True,16979,Asia,120052
6,Africa,2013,True,16979,Oceania,29879
7,Africa,2013,True,16979,Americas,166087
8,Africa,2013,True,16979,Europe,155347
9,Africa,2013,True,16979,Africa,99055
10,Africa,2019,False,25025,Africa,64792
11,Africa,2019,False,25025,Asia,113292
12,Africa,2019,False,25025,Europe,48782
13,Africa,2019,False,25025,Americas,38178
14,Africa,2019,False,25025,Oceania,7954
15,Africa,2011,False,16213,Americas,83682
16,Africa,2011,False,16213,Africa,76833
17,Africa,2011,False,16213,Europe,94255
18,Africa,2011,False,16213,Asia,114067
19,Africa,2011,False,16213,Oceania,16446
20,Africa,2016,True,24705,Europe,172705
21,Africa,2016,True,24705,Americas,176897
22,Africa,2016,True,24705,Asia,144792
23,Africa,2016,True,24705,Oceania,33431
24,Africa,2016,True,24705,Africa,105330
25,Africa,2014,True,19964,Asia,127105
26,Africa,2014,True,19964,Europe,160599
27,Africa,2014,True,19964,Americas,171466
28,Africa,2014,True,19964,Africa,106494
29,Africa,2014,True,19964,Oceania,29884
30,Africa,2010,False,14598,Asia,112078
31,Africa,2010,False,14598,Americas,86822
32,Africa,2010,False,14598,Oceania,16623
33,Africa,2010,False,14598,Europe,96512
34,Africa,2010,False,14598,Africa,74159
35,Oceania,2010,True,17725,Asia,223092
36,Oceania,2010,True,17725,Americas,337237
37,Oceania,2010,True,17725,Europe,329311
38,Oceania,2010,True,17725,Oceania,161824
39,Oceania,2010,True,17725,Africa,25689
40,Oceania,2010,False,37053,Oceania,259814
41,Oceania,2010,False,37053,Europe,387131
42,Oceania,2010,False,37053,Asia,337010
43,Oceania,2010,False,37053,Americas,362685
44,Oceania,2010,False,37053,Africa,31424
45,Oceania,2015,False,43227,Europe,279489
46,Oceania,2015,False,43227,Oceania,202005
47,Oceania,2015,False,43227,Americas,260780
48,Oceania,2015,False,43227,Asia,343110
49,Oceania,2015,False,43227,Africa,24516
50,Africa,2019,True,28317,Africa,70648
51,Africa,2019,True,28317,Europe,100751
52,Africa,2019,True,28317,Asia,104458
53,Africa,2019,True,28317,Americas,95759
54,Africa,2019,True,28317,Oceania,18224
55,Oceania,2018,True,43855,Europe,345925
56,Oceania,2018,True,43855,Americas,318380
57,Oceania,2018,True,43855,Oceania,173372
58,Oceania,2018,True,43855,Asia,298376
59,Oceania,2018,True,43855,Africa,31688
60,Oceania,2012,False,40086,Europe,365895
61,Oceania,2012,False,40086,Oceania,246634
62,Oceania,2012,False,40086,Asia,345072
