,subregion_cited,year,is_oa,count_doi,subregion_citing,subregion_citing_count
0,Micronesia,2017,True,1,South-eastern Asia,1
1,Micronesia,2017,True,1,Western Europe,1
2,Micronesia,2017,True,1,Northern Europe,1
3,Micronesia,2017,True,1,Northern America,6
4,Micronesia,2017,True,1,Eastern Asia,7
5,Melanesia,2013,False,128,South-eastern Asia,155
6,Melanesia,2013,False,128,Western Asia,69
7,Melanesia,2013,False,128,Australia and New Zealand,478
8,Melanesia,2013,False,128,Eastern Asia,377
9,Melanesia,2013,False,128,Northern Europe,237
10,Melanesia,2013,False,128,Southern Europe,136
11,Melanesia,2013,False,128,Northern America,507
12,Melanesia,2013,False,128,Melanesia,250
13,Melanesia,2013,False,128,Southern Asia,235
14,Melanesia,2013,False,128,Latin America and the Caribbean,104
15,Melanesia,2013,False,128,Western Europe,201
16,Melanesia,2013,False,128,Sub-Saharan Africa,113
17,Melanesia,2013,False,128,Polynesia,4
18,Melanesia,2013,False,128,Eastern Europe,29
19,Melanesia,2013,False,128,Northern Africa,24
20,Northern Africa,2010,False,5112,Northern America,15094
21,Northern Africa,2010,False,5112,Australia and New Zealand,2742
22,Northern Africa,2010,False,5112,Northern Africa,18551
23,Northern Africa,2010,False,5112,Eastern Asia,19961
24,Northern Africa,2010,False,5112,Southern Asia,15513
25,Northern Africa,2010,False,5112,Northern Europe,6393
26,Northern Africa,2010,False,5112,Sub-Saharan Africa,2291
27,Northern Africa,2010,False,5112,Eastern Europe,3498
28,Northern Africa,2010,False,5112,Western Asia,11250
29,Northern Africa,2010,False,5112,Southern Europe,7381
30,Northern Africa,2010,False,5112,Western Europe,8156
31,Northern Africa,2010,False,5112,South-eastern Asia,3609
32,Northern Africa,2010,False,5112,Latin America and the Caribbean,4251
33,Northern Africa,2010,False,5112,Central Asia,51
34,Northern Africa,2010,False,5112,Melanesia,22
35,Melanesia,2014,False,150,Southern Europe,193
36,Melanesia,2014,False,150,Melanesia,285
37,Melanesia,2014,False,150,Latin America and the Caribbean,128
38,Melanesia,2014,False,150,Sub-Saharan Africa,110
39,Melanesia,2014,False,150,Northern America,485
40,Melanesia,2014,False,150,South-eastern Asia,130
41,Melanesia,2014,False,150,Eastern Asia,408
42,Melanesia,2014,False,150,Southern Asia,297
43,Melanesia,2014,False,150,Western Europe,185
44,Melanesia,2014,False,150,Northern Europe,236
45,Melanesia,2014,False,150,Western Asia,104
46,Melanesia,2014,False,150,Australia and New Zealand,420
47,Melanesia,2014,False,150,Eastern Europe,59
48,Melanesia,2014,False,150,Northern Africa,46
49,Melanesia,2014,False,150,Central Asia,3
50,Northern Africa,2013,False,7786,Western Europe,10410
51,Northern Africa,2013,False,7786,Northern America,16621
52,Northern Africa,2013,False,7786,South-eastern Asia,4837
53,Northern Africa,2013,False,7786,Southern Asia,17297
54,Northern Africa,2013,False,7786,Eastern Asia,25869
55,Northern Africa,2013,False,7786,Western Asia,14842
56,Northern Africa,2013,False,7786,Northern Africa,26660
57,Northern Africa,2013,False,7786,Southern Europe,9121
58,Northern Africa,2013,False,7786,Northern Europe,7603
59,Northern Africa,2013,False,7786,Eastern Europe,4443
60,Northern Africa,2013,False,7786,Australia and New Zealand,3519
61,Northern Africa,2013,False,7786,Sub-Saharan Africa,2679
62,Northern Africa,2013,False,7786,Latin America and the Caribbean,5435
63,Northern Africa,2013,False,7786,Melanesia,24
64,Northern Africa,2013,False,7786,Central Asia,107
65,Northern Africa,2013,False,7786,Polynesia,1
66,Melanesia,2019,True,191,Eastern Asia,218
67,Melanesia,2019,True,191,Sub-Saharan Africa,136
68,Melanesia,2019,True,191,Southern Asia,202
69,Melanesia,2019,True,191,Northern Africa,20
70,Melanesia,2019,True,191,Western Europe,249
71,Melanesia,2019,True,191,Australia and New Zealand,441
72,Melanesia,2019,True,191,Melanesia,206
73,Melanesia,2019,True,191,Latin America and the Caribbean,126
74,Melanesia,2019,True,191,Northern America,498
75,Melanesia,2019,True,191,Western Asia,54
76,Melanesia,2019,True,191,Northern Europe,291
77,Melanesia,2019,True,191,Southern Europe,141
78,Melanesia,2019,True,191,South-eastern Asia,94
79,Melanesia,2019,True,191,Central Asia,4
80,Melanesia,2019,True,191,Eastern Europe,37
81,Melanesia,2019,True,191,Polynesia,10
82,Polynesia,2015,False,9,Northern America,29
83,Polynesia,2015,False,9,Northern Europe,3
84,Polynesia,2015,False,9,Southern Europe,4
85,Polynesia,2015,False,9,Australia and New Zealand,20
86,Polynesia,2015,False,9,Western Europe,33
87,Polynesia,2015,False,9,Sub-Saharan Africa,14
88,Polynesia,2015,False,9,Eastern Asia,12
89,Polynesia,2015,False,9,Latin America and the Caribbean,6
90,Polynesia,2015,False,9,Polynesia,14
91,Polynesia,2015,False,9,Southern Asia,6
92,Polynesia,2015,False,9,Northern Africa,2
93,Polynesia,2015,False,9,South-eastern Asia,6
94,Polynesia,2015,False,9,Western Asia,6
95,Polynesia,2015,False,9,Melanesia,1
96,Northern Africa,2014,True,4334,Western Asia,8573
97,Northern Africa,2014,True,4334,Southern Asia,10136
98,Northern Africa,2014,True,4334,Sub-Saharan Africa,3916
99,Northern Africa,2014,True,4334,South-eastern Asia,3666
100,Northern Africa,2014,True,4334,Northern Africa,11159
101,Northern Africa,2014,True,4334,Australia and New Zealand,3860
102,Northern Africa,2014,True,4334,Western Europe,10305
103,Northern Africa,2014,True,4334,Northern America,16626
104,Northern Africa,2014,True,4334,Eastern Asia,14153
105,Northern Africa,2014,True,4334,Southern Europe,7579
106,Northern Africa,2014,True,4334,Latin America and the Caribbean,5173
107,Northern Africa,2014,True,4334,Northern Europe,8833
108,Northern Africa,2014,True,4334,Eastern Europe,4212
109,Northern Africa,2014,True,4334,Central Asia,79
110,Northern Africa,2014,True,4334,Melanesia,48
111,Northern Africa,2019,True,7585,Western Asia,10627
112,Northern Africa,2019,True,7585,Northern America,13728
113,Northern Africa,2019,True,7585,Latin America and the Caribbean,4223
114,Northern Africa,2019,True,7585,Northern Europe,7175
115,Northern Africa,2019,True,7585,Southern Europe,7275
116,Northern Africa,2019,True,7585,Australia and New Zealand,2977
117,Northern Africa,2019,True,7585,Eastern Asia,16989
118,Northern Africa,2019,True,7585,Northern Africa,13981
119,Northern Africa,2019,True,7585,Eastern Europe,3903
120,Northern Africa,2019,True,7585,South-eastern Asia,3702
121,Northern Africa,2019,True,7585,Southern Asia,11764
122,Northern Africa,2019,True,7585,Western Europe,8326
123,Northern Africa,2019,True,7585,Sub-Saharan Africa,2783
124,Northern Africa,2019,True,7585,Central Asia,163
125,Northern Africa,2019,True,7585,Melanesia,35
126,Northern Africa,2019,True,7585,Polynesia,2
127,Northern Africa,2013,True,3676,Northern Africa,10606
128,Northern Africa,2013,True,3676,Eastern Europe,4129
129,Northern Africa,2013,True,3676,Southern Europe,7422
130,Northern Africa,2013,True,3676,Western Europe,10257
131,Northern Africa,2013,True,3676,Northern Europe,8101
132,Northern Africa,2013,True,3676,Australia and New Zealand,3550
133,Northern Africa,2013,True,3676,Western Asia,7881
134,Northern Africa,2013,True,3676,Eastern Asia,12603
135,Northern Africa,2013,True,3676,Northern America,15021
136,Northern Africa,2013,True,3676,Sub-Saharan Africa,3194
137,Northern Africa,2013,True,3676,Southern Asia,9585
138,Northern Africa,2013,True,3676,Latin America and the Caribbean,5011
139,Northern Africa,2013,True,3676,South-eastern Asia,3593
140,Northern Africa,2013,True,3676,Central Asia,90
141,Northern Africa,2013,True,3676,Melanesia,25
142,Northern Africa,2017,False,11741,South-eastern Asia,6602
143,Northern Africa,2017,False,11741,Latin America and the Caribbean,6612
144,Northern Africa,2017,False,11741,Eastern Asia,35852
145,Northern Africa,2017,False,11741,Western Asia,20215
146,Northern Africa,2017,False,11741,Southern Asia,24249
147,Northern Africa,2017,False,11741,Northern Africa,36332
148,Northern Africa,2017,False,11741,Northern Europe,7798
149,Northern Africa,2017,False,11741,Northern America,16805
150,Northern Africa,2017,False,11741,Eastern Europe,5455
151,Northern Africa,2017,False,11741,Australia and New Zealand,3636
152,Northern Africa,2017,False,11741,Southern Europe,9735
153,Northern Africa,2017,False,11741,Western Europe,10070
154,Northern Africa,2017,False,11741,Sub-Saharan Africa,3279
155,Northern Africa,2017,False,11741,Melanesia,36
