,year,doi_count,oa_count,noa_count,gold_count,green_count,green_only_count,hybrid_count,bronze_count,oa_cc_mean,oa_cc_median,noa_cc_mean,noa_cc_median,gold_cc_mean,gold_cc_median,green_cc_mean,green_cc_median,green_only_cc_mean,green_only_cc_median,hybrid_cc_mean,hybrid_cc_median,bronze_cc_mean,bronze_cc_median
0,2010,2743764,781386,1962378,287710,455996,231957,130789,261719,30.20182342657788,8.0,16.033355958943694,3.0,23.135323763511874,4.0,42.622821252817985,17.0,47.162508568398465,20.0,26.086024054010657,4.0,22.938128297907184,3.0
1,2011,2845911,886249,1959662,353244,522502,242934,164456,290071,26.322471449897222,7.0,15.15066832953846,3.0,21.183451098957086,5.0,36.988633536330994,14.0,41.96930030378621,18.0,22.512064017123123,3.0,19.476497133460335,3.0
2,2012,3058313,1027684,2030629,441281,605630,257274,193062,329129,22.796112423663285,5.0,13.569156158018037,2.0,19.07325264400688,4.0,32.25857867014519,12.0,37.78581590055738,16.0,19.984823528193022,3.0,16.070379699145242,2.0
3,2013,3307545,1149022,2158523,521207,686552,281044,219284,346771,20.253235360158403,5.0,12.226527120628319,2.0,17.47748783113044,4.0,28.51815157482608,11.0,33.42266691336587,14.0,17.593869137739176,2.0,13.751968878596927,2.0
4,2014,3476384,1294379,2182005,624924,773416,290263,254738,379192,17.50181515614832,4.0,10.90233523754528,2.0,15.873719044235779,4.0,24.595140260868696,9.0,28.77667150136257,12.0,16.940927541238455,2.0,11.554333952193396,1.0
5,2015,3598678,1448614,2150064,745176,851505,304937,312926,398501,15.175538825387507,3.0,9.773072336451378,2.0,14.078017810557506,3.0,21.619306991738135,8.0,25.203848663822363,10.0,13.987195055700068,2.0,9.554081420121648,1.0
6,2016,3916000,1677167,2238833,897789,947507,331882,391168,447496,12.521521708929406,3.0,8.040531830645696,1.0,11.665522745322114,2.0,18.422006380955494,7.0,20.999005670690188,8.0,11.760494212205504,1.0,7.951608505997835,1.0
7,2017,4246358,1903284,2343074,1041554,1049478,346900,441923,514830,10.073309605923246,2.0,6.79653566212591,1.0,9.586017623666182,2.0,15.237726755587097,6.0,18.001228019602184,7.0,9.080824034956313,1.0,5.717203737155992,0.0
8,2018,4553456,2155425,2398031,1178644,1149340,359952,478249,616829,7.436301425472939,1.0,5.611304858027275,1.0,7.262992896922225,1.0,11.723302069013538,4.0,13.778426012357206,5.0,6.435074615942742,0.0,4.066499791676473,0.0
9,2019,4898414,2438906,2459508,1347858,1190785,363055,538058,727993,5.0381753130296945,1.0,4.023333528494319,1.0,5.254594326702071,1.0,8.579120496143302,3.0,9.679605018523365,4.0,4.292485196763174,0.0,2.3227695870702116,0.0
